Evaluation_ID,Date,Agent,Team,Supervisor,Process,Evaluation_Score,Errors,Critical_Error,Customer_Satisfaction,Resolution_Time_Min,Status
100046,2026-07-09,Agent 071,Team B,Supervisor 1,Technical Support,88.1,2,No,4.3,10.7,Pass
100047,2026-07-09,Agent 038,Team A,Supervisor 3,Billing,90.2,1,No,4.1,5.1,Pass
100048,2026-06-24,Agent 095,Team A,Supervisor 4,Verification,100.0,0,No,5.0,10.4,Pass
100049,2026-07-09,Agent 044,Team A,Supervisor 2,Retention,93.3,3,No,4.1,10.7,Pass
100050,2026-02-20,Agent 026,Team C,Supervisor 3,Billing,100.0,0,No,4.7,5.5,Pass
100051,2026-04-18,Agent 100,Team A,Supervisor 1,Billing,94.6,1,No,4.4,8.2,Pass
100052,2026-02-24,Agent 090,Team E,Supervisor 3,Retention,93.2,0,No,5.0,8.7,Pass
100053,2026-03-05,Agent 002,Team C,Supervisor 2,General Inquiry,97.0,0,No,4.3,9.8,Pass
100054,2026-05-11,Agent 043,Team E,Supervisor 3,Technical Support,94.9,3,No,4.7,11.0,Pass
100055,2026-08-17,Agent 043,Team C,Supervisor 5,General Inquiry,97.8,2,No,5.0,10.8,Pass
100056,2026-02-20,Agent 063,Team C,Supervisor 5,General Inquiry,88.3,2,No,3.7,6.6,Pass
100057,2026-05-15,Agent 073,Team C,Supervisor 3,Technical Support,88.3,1,No,3.9,10.0,Pass
100058,2026-01-21,Agent 058,Team E,Supervisor 5,Verification,88.0,2,No,4.7,6.2,Pass
100059,2026-03-14,Agent 048,Team D,Supervisor 4,Retention,99.0,1,No,4.5,13.4,Pass
100060,2026-06-16,Agent 005,Team C,Supervisor 1,Billing,100.0,1,No,4.4,5.8,Pass
100061,2026-01-18,Agent 091,Team D,Supervisor 5,Retention,88.3,1,No,4.5,7.9,Pass
100062,2026-05-12,Agent 076,Team B,Supervisor 1,Verification,76.3,1,No,3.8,2.9,Fail
100063,2026-03-30,Agent 035,Team D,Supervisor 2,Technical Support,82.7,0,No,4.0,5.4,Fail
100064,2026-03-01,Agent 093,Team E,Supervisor 5,Billing,99.1,1,No,4.3,7.7,Pass
100065,2026-01-14,Agent 016,Team A,Supervisor 3,Verification,87.5,1,No,4.3,9.0,Pass
100066,2026-08-30,Agent 083,Team D,Supervisor 3,Technical Support,90.3,1,No,3.8,6.2,Pass
100067,2026-01-09,Agent 049,Team C,Supervisor 2,Technical Support,94.7,0,No,5.0,11.4,Pass
100068,2026-03-31,Agent 060,Team E,Supervisor 2,Technical Support,99.8,2,No,3.8,11.8,Pass
100069,2026-02-22,Agent 051,Team A,Supervisor 1,Billing,78.1,1,No,4.4,10.3,Fail
100070,2026-05-10,Agent 091,Team A,Supervisor 5,General Inquiry,92.8,2,No,4.8,5.2,Pass
100071,2026-03-25,Agent 082,Team A,Supervisor 3,Retention,95.2,0,No,4.1,13.0,Pass
100072,2026-04-02,Agent 059,Team A,Supervisor 5,General Inquiry,82.3,1,No,3.8,10.1,Fail
100073,2026-04-21,Agent 064,Team D,Supervisor 3,Billing,81.2,1,No,3.6,11.4,Fail
100074,2026-07-07,Agent 013,Team A,Supervisor 4,General Inquiry,100.0,1,No,4.4,7.5,Pass
100075,2026-07-18,Agent 094,Team D,Supervisor 1,Billing,80.3,1,No,3.3,10.2,Fail
100076,2026-06-21,Agent 026,Team E,Supervisor 2,Verification,100.0,1,No,4.9,9.2,Pass
100077,2026-01-08,Agent 070,Team A,Supervisor 4,General Inquiry,97.1,1,No,3.9,5.9,Pass
100078,2026-06-24,Agent 003,Team A,Supervisor 1,Verification,99.9,1,Yes,4.3,8.7,Pass
100079,2026-02-04,Agent 087,Team E,Supervisor 3,General Inquiry,95.7,0,No,4.6,9.7,Pass
100080,2026-07-25,Agent 012,Team D,Supervisor 5,Verification,91.4,1,No,3.9,4.8,Pass
100081,2026-03-22,Agent 041,Team A,Supervisor 2,Verification,84.6,0,No,4.1,10.7,Fail
100082,2026-06-13,Agent 079,Team B,Supervisor 5,Verification,78.4,1,No,4.3,4.7,Fail
100083,2026-02-19,Agent 065,Team E,Supervisor 5,Verification,90.1,0,No,4.3,2.0,Pass
100084,2026-04-14,Agent 063,Team B,Supervisor 4,Verification,87.0,1,No,3.9,13.4,Pass
100085,2026-05-12,Agent 050,Team D,Supervisor 2,Retention,93.2,1,No,3.6,7.0,Pass
100086,2026-01-02,Agent 047,Team B,Supervisor 5,Verification,77.2,2,No,3.8,4.6,Fail
100087,2026-05-14,Agent 008,Team B,Supervisor 1,General Inquiry,87.6,1,No,3.5,3.6,Pass
100088,2026-02-23,Agent 031,Team E,Supervisor 3,Billing,85.6,1,No,5.0,7.1,Pass
100089,2026-04-16,Agent 011,Team A,Supervisor 4,General Inquiry,88.8,1,No,4.2,6.0,Pass
100090,2026-01-04,Agent 017,Team B,Supervisor 4,Billing,69.2,2,No,4.0,9.3,Fail
100091,2026-02-23,Agent 027,Team C,Supervisor 2,Retention,100.0,0,No,4.4,13.2,Pass
100092,2026-08-09,Agent 095,Team D,Supervisor 3,Verification,92.0,0,No,3.6,4.0,Pass
100093,2026-07-10,Agent 027,Team A,Supervisor 4,Technical Support,100.0,1,No,4.5,11.6,Pass
100094,2026-05-26,Agent 078,Team C,Supervisor 4,Billing,78.3,0,No,4.0,8.6,Fail
100095,2026-08-06,Agent 087,Team B,Supervisor 1,Billing,79.4,0,No,3.8,9.2,Fail
100096,2026-02-13,Agent 056,Team A,Supervisor 4,Retention,87.1,1,No,5.0,11.1,Pass
100097,2026-06-11,Agent 069,Team B,Supervisor 4,General Inquiry,85.0,0,Yes,3.3,9.8,Pass
100098,2026-07-21,Agent 094,Team E,Supervisor 3,Technical Support,97.9,3,No,4.6,11.6,Pass
100099,2026-07-09,Agent 098,Team B,Supervisor 2,General Inquiry,85.8,0,No,3.7,6.6,Pass
100100,2026-08-16,Agent 047,Team C,Supervisor 3,Billing,86.5,1,No,4.2,10.5,Pass
100101,2026-01-14,Agent 019,Team B,Supervisor 3,Retention,91.4,0,No,4.5,10.2,Pass
100102,2026-04-05,Agent 057,Team A,Supervisor 4,Verification,91.2,2,No,4.2,5.2,Pass
100103,2026-02-17,Agent 031,Team B,Supervisor 4,General Inquiry,82.2,1,No,4.5,5.6,Fail
100104,2026-01-15,Agent 016,Team C,Supervisor 3,Retention,98.2,1,No,4.5,9.2,Pass
100105,2026-07-19,Agent 045,Team B,Supervisor 2,Technical Support,87.1,0,No,3.8,5.2,Pass
100106,2026-07-25,Agent 027,Team D,Supervisor 5,General Inquiry,81.0,2,No,4.0,4.2,Fail
100107,2026-08-03,Agent 061,Team E,Supervisor 1,Retention,100.0,0,No,4.8,7.4,Pass
100108,2026-07-09,Agent 026,Team A,Supervisor 5,Technical Support,100.0,0,No,5.0,11.5,Pass
100109,2026-02-09,Agent 029,Team D,Supervisor 1,Technical Support,85.9,2,No,3.6,7.1,Pass
100110,2026-08-01,Agent 044,Team A,Supervisor 1,Technical Support,92.3,1,No,3.8,8.1,Pass
100111,2026-07-27,Agent 029,Team A,Supervisor 2,Retention,76.7,0,No,4.2,8.5,Fail
100112,2026-08-25,Agent 095,Team A,Supervisor 2,Retention,80.5,2,No,4.1,9.1,Fail
100113,2026-03-23,Agent 002,Team C,Supervisor 1,Billing,87.4,0,No,3.8,3.8,Pass
100114,2026-04-21,Agent 006,Team A,Supervisor 1,Retention,98.5,2,No,4.8,11.9,Pass
100115,2026-02-22,Agent 009,Team D,Supervisor 3,Billing,82.8,1,No,4.1,13.2,Fail
100116,2026-01-24,Agent 015,Team A,Supervisor 1,Billing,86.3,0,No,3.6,5.4,Pass
100117,2026-06-03,Agent 084,Team C,Supervisor 2,Billing,93.1,1,No,3.5,6.9,Pass
100118,2026-08-05,Agent 058,Team D,Supervisor 3,Verification,96.7,1,No,4.2,12.7,Pass
100119,2026-07-07,Agent 002,Team B,Supervisor 1,Verification,90.8,0,No,4.5,7.9,Pass
100120,2026-05-04,Agent 003,Team C,Supervisor 3,General Inquiry,98.9,1,No,4.6,9.8,Pass
100121,2026-08-25,Agent 052,Team B,Supervisor 4,Technical Support,77.5,4,No,3.2,7.7,Fail
100122,2026-02-10,Agent 055,Team B,Supervisor 1,Verification,78.6,1,No,3.3,6.8,Fail
100123,2026-06-06,Agent 053,Team E,Supervisor 1,Billing,88.5,2,No,4.8,7.8,Pass
100124,2026-01-15,Agent 094,Team B,Supervisor 2,Technical Support,77.6,1,No,3.0,10.9,Fail
100125,2026-02-14,Agent 072,Team E,Supervisor 3,Technical Support,92.7,2,No,4.4,9.1,Pass
100126,2026-03-06,Agent 040,Team B,Supervisor 3,Technical Support,82.0,0,No,3.8,13.2,Fail
100127,2026-03-30,Agent 085,Team B,Supervisor 1,Retention,82.5,1,No,4.4,12.0,Fail
100128,2026-03-12,Agent 039,Team A,Supervisor 1,Billing,89.5,0,No,3.9,13.0,Pass
100129,2026-01-09,Agent 043,Team C,Supervisor 2,Technical Support,83.0,1,Yes,3.5,9.6,Fail
100130,2026-03-29,Agent 013,Team B,Supervisor 1,Technical Support,95.5,3,No,4.2,11.4,Pass
100131,2026-05-09,Agent 037,Team A,Supervisor 4,Technical Support,93.0,0,No,4.2,9.2,Pass
100132,2026-08-24,Agent 055,Team C,Supervisor 2,General Inquiry,99.1,1,No,4.0,8.3,Pass
100133,2026-05-16,Agent 032,Team A,Supervisor 3,Billing,91.0,0,No,3.4,5.2,Pass
100134,2026-08-04,Agent 014,Team E,Supervisor 1,Verification,84.8,3,No,3.9,8.7,Fail
100135,2026-03-04,Agent 065,Team C,Supervisor 4,Billing,97.6,2,No,3.9,11.7,Pass
100136,2026-05-19,Agent 027,Team D,Supervisor 3,Verification,93.1,1,No,4.1,12.3,Pass
100137,2026-08-31,Agent 024,Team E,Supervisor 5,General Inquiry,94.1,2,No,4.0,4.6,Pass
100138,2026-03-22,Agent 022,Team A,Supervisor 2,Verification,89.1,1,No,4.6,5.8,Pass
100139,2026-05-16,Agent 078,Team B,Supervisor 2,Technical Support,85.5,1,No,4.1,8.5,Pass
100140,2026-06-12,Agent 045,Team A,Supervisor 2,Verification,85.1,1,No,3.5,7.8,Pass
100141,2026-06-12,Agent 008,Team A,Supervisor 3,Verification,93.4,1,No,4.6,7.0,Pass
100142,2026-02-02,Agent 091,Team A,Supervisor 2,Billing,91.5,1,No,3.6,12.5,Pass
100143,2026-05-03,Agent 067,Team C,Supervisor 2,General Inquiry,83.9,0,No,3.9,3.5,Fail
100144,2026-01-05,Agent 064,Team C,Supervisor 3,General Inquiry,91.9,2,No,5.0,5.5,Pass
100145,2026-08-22,Agent 097,Team A,Supervisor 4,Technical Support,87.1,2,No,4.1,9.3,Pass
100146,2026-08-19,Agent 047,Team B,Supervisor 5,Billing,80.1,2,No,4.1,8.1,Fail
100147,2026-02-10,Agent 021,Team B,Supervisor 5,General Inquiry,86.4,1,No,3.7,13.1,Pass
100148,2026-01-28,Agent 032,Team B,Supervisor 1,Technical Support,86.5,0,No,3.6,6.9,Pass
100149,2026-05-15,Agent 045,Team D,Supervisor 5,Verification,83.0,1,No,4.3,12.5,Fail
100150,2026-07-20,Agent 044,Team D,Supervisor 2,General Inquiry,87.4,1,No,3.5,9.6,Pass
100151,2026-03-13,Agent 041,Team B,Supervisor 3,General Inquiry,96.3,2,No,3.5,7.3,Pass
100152,2026-01-12,Agent 096,Team D,Supervisor 1,Retention,82.1,0,No,3.0,12.2,Fail
100153,2026-06-11,Agent 052,Team C,Supervisor 3,General Inquiry,85.9,0,No,4.0,6.6,Pass
100154,2026-02-02,Agent 088,Team C,Supervisor 2,Verification,86.4,2,No,4.3,4.7,Pass
100155,2026-02-17,Agent 011,Team A,Supervisor 5,Verification,81.9,0,No,3.0,7.6,Fail
100156,2026-05-31,Agent 085,Team B,Supervisor 2,Verification,81.1,1,No,4.4,10.2,Fail
100157,2026-03-03,Agent 018,Team D,Supervisor 3,General Inquiry,91.9,2,No,3.8,10.0,Pass
100158,2026-08-04,Agent 011,Team E,Supervisor 1,Billing,87.8,2,No,4.5,7.3,Pass
100159,2026-02-06,Agent 027,Team D,Supervisor 5,General Inquiry,77.5,1,Yes,3.9,8.6,Fail
100160,2026-04-09,Agent 043,Team A,Supervisor 5,Technical Support,97.9,1,No,4.4,7.5,Pass
100161,2026-06-21,Agent 065,Team A,Supervisor 2,Retention,89.3,1,No,4.3,14.0,Pass
100162,2026-04-14,Agent 054,Team C,Supervisor 5,Retention,87.8,0,No,4.2,10.4,Pass
100163,2026-08-02,Agent 029,Team D,Supervisor 2,Billing,74.5,2,No,3.5,13.3,Fail
100164,2026-08-07,Agent 021,Team A,Supervisor 4,Technical Support,95.2,1,No,4.5,7.2,Pass
100165,2026-02-04,Agent 029,Team D,Supervisor 2,General Inquiry,95.4,1,No,3.9,6.2,Pass
100166,2026-07-12,Agent 009,Team C,Supervisor 5,Retention,92.0,1,No,3.3,8.6,Pass
100167,2026-08-15,Agent 061,Team D,Supervisor 4,Technical Support,93.1,0,No,3.7,11.4,Pass
100168,2026-04-11,Agent 062,Team C,Supervisor 5,Billing,86.1,1,No,4.1,10.7,Pass
100169,2026-06-24,Agent 071,Team D,Supervisor 3,General Inquiry,100.0,3,No,4.7,5.3,Pass
100170,2026-07-25,Agent 095,Team B,Supervisor 3,Verification,90.8,2,No,4.6,7.9,Pass
100171,2026-05-11,Agent 091,Team D,Supervisor 4,Retention,88.4,0,No,4.2,11.0,Pass
100172,2026-01-01,Agent 096,Team E,Supervisor 1,Technical Support,91.5,1,No,3.5,7.8,Pass
100173,2026-01-05,Agent 005,Team E,Supervisor 3,General Inquiry,81.2,2,No,3.7,5.6,Fail
100174,2026-08-06,Agent 097,Team A,Supervisor 5,Retention,88.8,0,No,4.1,10.2,Pass
100175,2026-05-22,Agent 015,Team D,Supervisor 1,Verification,89.3,3,No,5.0,9.0,Pass
100176,2026-04-13,Agent 057,Team E,Supervisor 3,Retention,93.4,1,No,4.2,11.1,Pass
100177,2026-01-27,Agent 005,Team C,Supervisor 3,Billing,76.6,1,No,3.1,4.5,Fail
100178,2026-05-17,Agent 020,Team A,Supervisor 2,Billing,95.2,0,No,4.1,9.8,Pass
100179,2026-07-26,Agent 081,Team E,Supervisor 5,Technical Support,100.0,1,No,4.4,10.5,Pass
100180,2026-01-15,Agent 004,Team B,Supervisor 5,Technical Support,69.5,1,No,3.6,9.2,Fail
100181,2026-03-31,Agent 056,Team A,Supervisor 3,Verification,99.2,1,No,4.5,7.0,Pass
100182,2026-02-11,Agent 085,Team C,Supervisor 1,General Inquiry,100.0,3,No,4.1,8.9,Pass
100183,2026-05-04,Agent 034,Team A,Supervisor 2,Technical Support,93.0,0,No,4.2,9.2,Pass
100184,2026-07-24,Agent 040,Team A,Supervisor 2,Billing,92.2,0,No,5.0,11.4,Pass
100185,2026-06-28,Agent 069,Team C,Supervisor 1,Retention,96.1,0,No,4.5,9.6,Pass
100186,2026-03-04,Agent 068,Team D,Supervisor 2,Retention,99.7,0,No,3.8,8.5,Pass
100187,2026-04-06,Agent 022,Team E,Supervisor 2,Verification,99.1,3,No,4.4,10.3,Pass
100188,2026-08-19,Agent 014,Team D,Supervisor 3,Verification,87.2,1,No,3.4,10.0,Pass
100189,2026-08-29,Agent 068,Team E,Supervisor 2,Technical Support,87.2,2,No,4.7,9.4,Pass
100190,2026-02-21,Agent 008,Team C,Supervisor 2,Billing,94.3,1,No,4.7,9.3,Pass
100191,2026-04-06,Agent 067,Team B,Supervisor 1,Technical Support,94.6,0,No,4.5,10.5,Pass
100192,2026-05-12,Agent 046,Team C,Supervisor 2,Verification,98.5,2,No,4.9,8.9,Pass
100193,2026-08-10,Agent 029,Team D,Supervisor 1,General Inquiry,80.4,1,No,3.7,9.4,Fail
100194,2026-08-17,Agent 090,Team C,Supervisor 3,Billing,97.4,1,No,3.7,3.5,Pass
100195,2026-05-31,Agent 094,Team B,Supervisor 1,Verification,86.1,2,No,3.9,7.3,Pass
100196,2026-08-19,Agent 012,Team B,Supervisor 2,Technical Support,89.0,2,No,3.8,10.7,Pass
100197,2026-08-25,Agent 079,Team C,Supervisor 1,Technical Support,80.6,0,No,3.5,12.9,Fail
100198,2026-05-23,Agent 052,Team A,Supervisor 3,Technical Support,93.0,1,No,4.5,8.9,Pass
100199,2026-06-20,Agent 058,Team E,Supervisor 1,Verification,93.1,0,No,4.6,7.6,Pass
100200,2026-01-29,Agent 002,Team C,Supervisor 5,Retention,91.1,1,No,5.0,11.8,Pass
100201,2026-02-05,Agent 001,Team D,Supervisor 2,Billing,91.4,1,No,4.0,11.0,Pass
100202,2026-01-13,Agent 055,Team A,Supervisor 3,General Inquiry,92.8,1,No,4.1,6.5,Pass
100203,2026-06-09,Agent 092,Team C,Supervisor 3,Technical Support,77.3,3,No,3.2,11.9,Fail
100204,2026-03-12,Agent 099,Team E,Supervisor 4,Retention,89.3,3,No,3.9,9.2,Pass
100205,2026-07-06,Agent 034,Team B,Supervisor 5,Technical Support,88.7,3,No,4.3,11.3,Pass
100206,2026-08-31,Agent 064,Team B,Supervisor 2,Technical Support,77.5,1,No,4.0,11.9,Fail
100207,2026-03-27,Agent 068,Team B,Supervisor 3,Billing,79.7,3,No,4.0,8.8,Fail
100208,2026-01-28,Agent 082,Team B,Supervisor 1,Verification,92.2,1,No,3.2,10.1,Pass
100209,2026-03-07,Agent 012,Team D,Supervisor 2,Technical Support,89.8,0,No,3.7,9.3,Pass
100210,2026-06-19,Agent 050,Team B,Supervisor 3,General Inquiry,91.3,0,No,4.2,8.2,Pass
100211,2026-02-14,Agent 021,Team D,Supervisor 2,Billing,96.6,0,No,4.3,10.1,Pass
100212,2026-03-03,Agent 010,Team C,Supervisor 5,Verification,82.3,1,No,4.1,6.0,Fail
100213,2026-07-04,Agent 085,Team A,Supervisor 5,Retention,87.1,3,No,4.0,14.4,Pass
100214,2026-05-14,Agent 089,Team E,Supervisor 3,General Inquiry,90.4,1,Yes,3.3,6.6,Pass
100215,2026-01-28,Agent 081,Team B,Supervisor 5,General Inquiry,87.4,1,No,4.7,5.8,Pass
100216,2026-01-28,Agent 070,Team C,Supervisor 5,General Inquiry,85.9,0,No,3.8,9.6,Pass
100217,2026-04-18,Agent 014,Team A,Supervisor 4,Technical Support,100.0,0,No,4.7,9.5,Pass
100218,2026-02-13,Agent 040,Team E,Supervisor 2,General Inquiry,85.0,3,No,3.5,5.2,Pass
100219,2026-03-25,Agent 082,Team E,Supervisor 2,Verification,97.9,1,Yes,4.5,12.4,Pass
100220,2026-01-30,Agent 030,Team B,Supervisor 2,General Inquiry,96.3,0,No,4.4,7.5,Pass
100221,2026-07-09,Agent 073,Team A,Supervisor 2,Verification,76.3,1,No,2.7,9.5,Fail
100222,2026-03-16,Agent 014,Team D,Supervisor 4,Technical Support,80.1,0,No,3.8,14.4,Fail
100223,2026-05-08,Agent 052,Team B,Supervisor 2,Billing,80.6,2,No,2.9,9.8,Fail
100224,2026-04-02,Agent 017,Team D,Supervisor 5,Technical Support,92.6,2,No,4.2,16.8,Pass
100225,2026-08-05,Agent 062,Team E,Supervisor 5,Billing,86.8,0,No,3.7,12.2,Pass
100226,2026-08-19,Agent 098,Team C,Supervisor 5,Verification,85.1,2,No,3.6,9.5,Pass
100227,2026-07-09,Agent 022,Team E,Supervisor 3,Retention,93.4,1,No,3.9,11.2,Pass
100228,2026-08-13,Agent 053,Team B,Supervisor 5,Verification,78.7,2,No,4.9,5.7,Fail
100229,2026-05-09,Agent 032,Team E,Supervisor 1,Technical Support,77.6,3,No,4.7,5.9,Fail
100230,2026-05-01,Agent 076,Team B,Supervisor 4,Billing,78.7,3,Yes,3.1,10.5,Fail
100231,2026-01-27,Agent 055,Team B,Supervisor 1,Technical Support,76.3,1,No,3.4,7.9,Fail
100232,2026-07-09,Agent 080,Team E,Supervisor 5,Billing,92.0,0,No,4.6,10.6,Pass
100233,2026-05-01,Agent 022,Team C,Supervisor 4,General Inquiry,87.8,0,No,3.0,6.9,Pass
100234,2026-04-26,Agent 038,Team D,Supervisor 4,Retention,83.5,1,No,4.0,9.2,Fail
100235,2026-07-24,Agent 050,Team E,Supervisor 2,Verification,90.8,1,No,3.0,2.0,Pass
100236,2026-08-21,Agent 066,Team D,Supervisor 4,General Inquiry,85.1,1,No,3.8,6.8,Pass
100237,2026-01-03,Agent 045,Team A,Supervisor 5,Billing,77.1,1,No,3.4,12.4,Fail
100238,2026-04-13,Agent 008,Team D,Supervisor 1,Verification,88.9,0,No,4.1,8.7,Pass
100239,2026-07-17,Agent 065,Team A,Supervisor 4,General Inquiry,85.8,0,No,4.4,3.9,Pass
100240,2026-07-19,Agent 040,Team B,Supervisor 2,Verification,87.6,1,No,3.4,9.8,Pass
100241,2026-06-04,Agent 005,Team D,Supervisor 5,Billing,91.1,0,No,5.0,13.4,Pass
100242,2026-05-17,Agent 045,Team E,Supervisor 2,Technical Support,87.4,0,No,4.3,8.2,Pass
100243,2026-03-03,Agent 046,Team D,Supervisor 2,General Inquiry,100.0,2,No,3.8,10.3,Pass
100244,2026-06-14,Agent 036,Team B,Supervisor 4,Billing,87.5,2,No,4.0,8.7,Pass
100245,2026-08-13,Agent 017,Team E,Supervisor 2,Retention,87.6,0,No,4.6,13.6,Pass
100246,2026-02-20,Agent 041,Team E,Supervisor 4,Verification,100.0,0,No,4.6,10.8,Pass
100247,2026-08-22,Agent 030,Team B,Supervisor 2,Retention,63.0,3,No,3.4,9.4,Fail
100248,2026-06-21,Agent 052,Team A,Supervisor 3,General Inquiry,100.0,3,No,4.5,11.3,Pass
100249,2026-06-01,Agent 079,Team A,Supervisor 5,Verification,95.1,3,No,4.2,5.0,Pass
100250,2026-07-26,Agent 020,Team C,Supervisor 4,Retention,87.4,2,No,4.4,9.3,Pass
100251,2026-02-28,Agent 036,Team A,Supervisor 4,Technical Support,87.0,0,No,3.7,9.0,Pass
100252,2026-04-28,Agent 066,Team C,Supervisor 5,Technical Support,88.7,2,No,3.5,11.9,Pass
100253,2026-06-09,Agent 045,Team D,Supervisor 4,Retention,89.3,1,No,4.2,10.3,Pass
100254,2026-04-06,Agent 004,Team C,Supervisor 5,Retention,80.6,0,No,3.7,7.3,Fail
100255,2026-08-04,Agent 050,Team E,Supervisor 1,Technical Support,95.0,2,No,4.0,10.7,Pass
100256,2026-08-21,Agent 088,Team C,Supervisor 3,Technical Support,98.9,0,No,3.8,9.1,Pass
100257,2026-06-29,Agent 055,Team A,Supervisor 4,Billing,98.7,1,No,4.8,7.9,Pass
100258,2026-04-23,Agent 059,Team C,Supervisor 1,Verification,86.5,1,No,3.4,9.3,Pass
100259,2026-03-03,Agent 042,Team E,Supervisor 3,General Inquiry,96.3,2,No,4.4,6.9,Pass
100260,2026-08-29,Agent 002,Team A,Supervisor 2,General Inquiry,100.0,2,No,4.6,5.9,Pass
